id,lat,lon,src,elev,timezone,tzoffset,timestamp,dateTime,tempC,dewptC,heatindexC,windchillC,feelslikeC,rh,altimeter,spressure,mslp,windSpeedKTS,windDirDEG,windDir,windGustKTS,visibilityKM,wx,wxCoded,cloudsCoded,sky,icon,light,isDay,sunrise,sunriseDateTime,sunset,sunsetDateTime
MID_VERC,23.3167,85.3167,,652,Asia/Kolkata,19800,1481218200,"2016-12-08 17:30:00",15,12,15,15,15,82,,941,1016,3,300,WNW,,1.5,"Mostly Clear with Mist and Fog","::BR,::FW",FW,19,fogn.png,0,,1481158108,"2016-12-08 00:48:28",1481196791,"2016-12-08 11:33:11"
MID_E3512,13.0478,80.27,,50,Asia/Kolkata,19800,1481218380,"2016-12-08 17:33:00",26.1,21.7,26,26,26,77,1017,1012,1018,0,90,E,1,,"Mostly Clear with Mist and Fog","::BR,::FW",FW,19,fogn.png,0,,1481158173,"2016-12-08 00:49:33",1481199149,"2016-12-08 12:12:29"
MID_VAAU,19.85,75.4,,579,Asia/Kolkata,19800,1481220000,"2016-12-08 18:00:00",15,7,15,15,15,59,,950,1017,0,0,N,,5,"Mostly Clear with Hazy","::H,::FW",FW,19,hazyn.png,0,,1481160086,"2016-12-08 01:21:26",1481199575,"2016-12-08 12:19:35"
MID_VEGY,24.75,84.95,,116,Asia/Kolkata,19800,1481220000,"2016-12-08 18:00:00",14,13,14,14,14,94,,1002,1016,5,290,WNW,,0.9,"Mostly Clear with Fog","::F,::FW",FW,19,fogn.png,0,,1481158369,"2016-12-08 00:52:49",1481196706,"2016-12-08 11:31:46"
MID_VOVZ,17.7167,83.2167,,5,Asia/Kolkata,19800,1481227200,"2016-12-08 20:00:00",20,18,20,20,20,88,,1009,1010,2,0,N,,4,"Mostly Clear with Mist and Fog","::BR,::FW",FW,19,fogn.png,0,,1481244405,"2016-12-09 00:46:45",1481284356,"2016-12-09 11:52:36"
MID_VOGO,15.3667,73.8167,,52,Asia/Kolkata,19800,1481229000,"2016-12-08 20:30:00",25,22,25,25,25,83,,1004,1010,2,0,N,,5,"Mostly Cloudy",::BK,BK,81,mcloudyn.png,0,,1481246404,"2016-12-09 01:20:04",1481286870,"2016-12-09 12:34:30"
MID_VABP,23.2667,77.3333,,523,Asia/Kolkata,19800,1481230800,"2016-12-08 21:00:00",14,9,14,14,14,72,,955,1016,3,50,NE,,5,"Mostly Clear with Hazy","::H,::FW",FW,19,hazyn.png,0,,1481246457,"2016-12-09 01:20:57",1481285129,"2016-12-09 12:05:29"
MID_VAJB,23.1833,79.95,,393,Asia/Kolkata,19800,1481230800,"2016-12-08 21:00:00",10,9,10,10,10,94,,968,1015,0,0,N,,4,"Mostly Clear with Hazy","::H,::FW",FW,19,hazyn.png,0,,1481245819,"2016-12-09 01:10:19",1481284511,"2016-12-09 11:55:11"
MID_VIGR,26.2167,78.25,,207,Asia/Kolkata,19800,1481230800,"2016-12-08 21:00:00",10,9,10,10,10,94,,989,1014,0,0,N,,1,"Mostly Clear with Mist and Fog","::BR,::FW",FW,19,fogn.png,0,,1481246600,"2016-12-09 01:23:20",1481284547,"2016-12-09 11:55:47"
MID_VAID,22.7167,75.7833,,567,Asia/Kolkata,19800,1481230800,"2016-12-08 21:00:00",15,9,15,15,15,68,,951,1017,2,50,NE,,5,"Mostly Clear with Hazy","::H,::FW",FW,19,hazyn.png,0,,1481246764,"2016-12-09 01:26:04",1481285567,"2016-12-09 12:12:47"
MID_VIJP,26.8167,75.7833,,390,Asia/Kolkata,19800,1481232600,"2016-12-08 21:30:00",15,13,15,15,15,88,,969,1015,0,0,N,,2,"Mostly Clear with Mist and Fog","::BR,::FW",FW,19,fogn.png,0,,1481247268,"2016-12-09 01:34:28",1481285063,"2016-12-09 12:04:23"
MID_VILK,26.75,80.8667,,128,Asia/Kolkata,19800,1481232600,"2016-12-08 21:30:00",11,11,11,11,11,100,,999,1014,0,0,N,,0.05,"Mostly Clear with Fog","::F,::FW",FW,19,fogn.png,0,,1481246039,"2016-12-09 01:13:59",1481283851,"2016-12-09 11:44:11"
MID_VIAR,31.7,74.8,,234,Asia/Kolkata,19800,1481232600,"2016-12-08 21:30:00",12,12,12,12,12,100,,986,1014,0,0,N,,0,"Mostly Clear with Fog","::F,::FW",FW,19,fogn.png,0,,1481248158,"2016-12-09 01:49:18",1481284644,"2016-12-09 11:57:24"
MID_VOBG,12.95,77.6333,,897,Asia/Kolkata,19800,1481234400,"2016-12-08 22:00:00",17,13,17,17,17,77,,913,1014,0,0,N,,8,"Partly Cloudy",::SC,SC,44,pcloudyn.png,0,,1481245229,"2016-12-09 01:00:29",1481286213,"2016-12-09 12:23:33"
